rho_train,replicate,metric,model,score,rank,is_best
0.9,6,average_ood,gradient_boosting,0.4382,4.0,False
0.9,6,average_ood,logistic_regression,0.5551333333333334,3.0,False
0.9,6,average_ood,mlp,0.6139333333333333,1.0,True
0.9,6,average_ood,random_forest,0.41,5.0,False
0.9,6,average_ood,rbf_svm,0.5581333333333334,2.0,False
0.9,7,average_ood,gradient_boosting,0.4556000000000001,4.0,False
0.9,7,average_ood,logistic_regression,0.5647333333333334,2.0,False
0.9,7,average_ood,mlp,0.6210666666666667,1.0,True
0.9,7,average_ood,random_forest,0.4129333333333333,5.0,False
0.9,7,average_ood,rbf_svm,0.5618000000000001,3.0,False
0.9,8,average_ood,gradient_boosting,0.4566666666666667,4.0,False
0.9,8,average_ood,logistic_regression,0.5644,2.0,False
0.9,8,average_ood,mlp,0.6220666666666668,1.0,True
0.9,8,average_ood,random_forest,0.41559999999999997,5.0,False
0.9,8,average_ood,rbf_svm,0.557,3.0,False
0.9,9,average_ood,gradient_boosting,0.44880000000000003,4.0,False
0.9,9,average_ood,logistic_regression,0.5546,3.0,False
