rho_train,replicate,model,d3_flip_rate_spurious,d3_probability_sensitivity_spurious,auxiliary_train_r2_spurious,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise,d3_excess,d3_probability_sensitivity_excess
0.0,8,mlp,0.014,0.010128763120790129,0.0009268287671525544,0.0115,0.009140516147698705,0.00017043864519217244,0.0025000000000000005,0.0009882469730914233
0.0,9,logistic_regression,0.005,0.004118740116627426,0.0004978136226119201,0.0045,0.003384920031954453,0.0010336083211166525,0.0005000000000000004,0.0007338200846729727
0.0,9,rbf_svm,0.016,0.015734439031168976,0.0004978136226119201,0.016,0.015775675509421258,0.0010336083211166525,0.0,-4.123647825228158e-05
0.0,9,random_forest,0.0115,0.0173185126984127,0.0004978136226119201,0.0125,0.016031649999999998,0.0010336083211166525,-0.0010000000000000009,0.0012868626984127024
0.0,9,gradient_boosting,0.021,0.021837474373636836,0.0004978136226119201,0.022,0.0228770924502744,0.0010336083211166525,-0.0009999999999999974,-0.0010396180766375634
0.0,9,mlp,0.0135,0.013890951658791884,0.0004978136226119201,0.0135,0.013728157374814259,0.0010336083211166525,0.0,0.00016279428397762523
0.5,0,logistic_regression,0.05,0.051540134751689934,0.1358131486267814,0.0015,0.0010890931600013333,0.0003001166577384362,0.0485,0.0504510415916886
0.5,0,rbf_svm,0.054,0.05219775304503482,0.1358131486267814,0.0115,0.014794649693101881,0.0003001166577384362,0.042499999999999996,0.03740310335193294
0.5,0,random_forest,0.057,0.06609577611832611,0.1358131486267814,0.011,0.013181276046176046,0.0003001166577384362,0.046,0.05291450007215006
0.5,0,gradient_boosting,0.0505,0.05295793642782471,0.1358131486267814,0.022,0.019552002329708634,0.0003001166577384362,0.028500000000000004,0.033405934098116076
0.5,0,mlp,0.0505,0.05541374756814021,0.1358131486267814,0.007,0.008335738400498893,0.0003001166577384362,0.043500000000000004,0.047078009167641315
0.5,1,logistic_regression,0.0455,0.0446612526245766,0.14040910022498765,0.001,0.001688664486827951,0.00014568650008595085,0.0445,0.042972588137748645
0.5,1,rbf_svm,0.0455,0.04582253624765927,0.14040910022498765,0.01,0.013879336260772987,0.00014568650008595085,0.0355,0.031943199986886286
0.5,1,random_forest,0.0565,0.05980015021645022,0.14040910022498765,0.0085,0.01364928189033189,0.00014568650008595085,0.048,0.04615086832611833
0.5,1,gradient_boosting,0.05,0.05104892913915313,0.14040910022498765,0.025,0.022920039759183945,0.00014568650008595085,0.025,0.02812888937996919
0.5,1,mlp,0.064,0.07647721378548404,0.14040910022498765,0.0135,0.01511589744413678,0.00014568650008595085,0.0505,0.06136131634134726
0.5,2,logistic_regression,0.065,0.06000125330595919,0.1530878843371659,0.002,0.0006238190763550215,0.0010306740088690258,0.063,0.05937743422960417
0.5,2,rbf_svm,0.075,0.06528924274934189,0.1530878843371659,0.011,0.012009534232378131,0.0010306740088690258,0.064,0.05327970851696376
0.5,2,random_forest,0.073,0.07166782698412698,0.1530878843371659,0.008,0.012846768470418471,0.0010306740088690258,0.065,0.05882105851370851
0.5,2,gradient_boosting,0.0565,0.06137191220457695,0.1530878843371659,0.017,0.018656265614396112,0.0010306740088690258,0.0395,0.042715646590180845
0.5,2,mlp,0.096,0.07879900034700578,0.1530878843371659,0.0095,0.01484363566432433,0.0010306740088690258,0.08650000000000001,0.06395536468268145
0.5,3,logistic_regression,0.051,0.05204523863026821,0.16033099056400002,0.001,0.0007785307534750292,0.00038766512038701517,0.049999999999999996,0.05126670787679318
