rho_train,replicate,model,feature_condition,environment_type,rho_environment,rho_ood,accuracy,balanced_accuracy,roc_auc,brier_score,log_loss
0.0,3,logistic_regression,all_features,ood,0.3,0.3,0.9093333333333333,0.9093995756501607,0.9766123049006494,0.06204188819369244,0.19523233735531823
0.0,3,logistic_regression,all_features,ood,-0.3,-0.3,0.9063333333333333,0.9063069087184157,0.9747134112508536,0.06458295878458542,0.20223828044820216
0.0,3,logistic_regression,all_features,ood,-0.6,-0.6,0.918,0.9180130484697449,0.9767244954151683,0.06000094668421127,0.19507161816076973
0.0,3,logistic_regression,all_features,ood,-0.9,-0.9,0.9146666666666666,0.9146666666666666,0.976928,0.060895584290682044,0.1944553979721922
0.0,3,logistic_regression,stable_only,iid_validation,0.0,,0.9085,0.9086230984709762,0.9747529549893541,0.06414008174048857,0.20353872206500165
0.0,3,logistic_regression,stable_only,iid_test,0.0,,0.902,0.9018221031450456,0.9743371391090706,0.0653283485199155,0.20345558313869586
0.0,3,logistic_regression,stable_only,ood,0.3,0.3,0.9096666666666666,0.9097376419111479,0.976749665156593,0.06184835337414281,0.1945705151034092
0.0,3,logistic_regression,stable_only,ood,-0.3,-0.3,0.9053333333333333,0.9053003357614386,0.9745342377077169,0.06487982132781138,0.20303791986455735
0.0,3,logistic_regression,stable_only,ood,-0.6,-0.6,0.9173333333333333,0.9173463578022143,0.9763178141079746,0.06054755695456575,0.1967042065697316
0.0,3,logistic_regression,stable_only,ood,-0.9,-0.9,0.9106666666666666,0.9106666666666667,0.9762955555555555,0.06179673211956663,0.19697677961000243
0.0,3,rbf_svm,all_features,iid_validation,0.0,,0.903,0.9030911503831811,0.971947727765949,0.0669944221596613,0.21470012272359765
0.0,3,rbf_svm,all_features,iid_test,0.0,,0.9006666666666666,0.9004880434903448,0.971202543607075,0.06827521122719715,0.21807178719298706
